chanel_name,yt_url,subscribers,check_date,released_date,is_posted_in_date_range,shorts_name,description,likes,views,short_url
크리스 취미생활 chris hobby,https://www.youtube.com/channel/UC3IjHB7Fkpcu1IYIWELkYUA,78.7K,16-05-2024,Apr 30 2024,No,캠핑유튜버가 정말 힘든 이유,,"212
","22,393
",https://www.youtube.com/shorts/p-etigjBboY
EBS Collection - Nature,https://www.youtube.com/channel/UCiFYUP4_TI70yCkkVJAlxoA,895K,16-05-2024,Mar 31 2024,No,꽃으로 위장해 사냥하는 난초사마귀 #shorts #사마귀,,"140
","5,239
",https://www.youtube.com/shorts/b0X5T8GZ_b8
나이스tv,https://www.youtube.com/channel/UCiK4aRWPyU2AWx75CKNRYdw,61.9K,16-05-2024,May 08 2024,No,#김다현 ( Kim DaHyun ) #김진표 국회의장님이 직접 시상한 한일가왕전 MVP 수상 축하합니다,,"3.9K
","72,488
",https://www.youtube.com/shorts/0IkNEEPSjB0
마참,https://www.youtube.com/channel/UCtNQtlVDw79Sdxvm08Egk0w,142K,16-05-2024,Apr 16 2024,No,brawlstars baket brawl suddendeath funny moment lol #brawlstars #brawl #shorts,"sub plz lol

광고 문의: alsadc8@gmail.com","103
","2,160
",https://www.youtube.com/shorts/8NuFInf73yg
헤마군CR,https://www.youtube.com/channel/UC-8g9H1v9f7zEhm0UqOf0ig,51.3K,16-05-2024,May 09 2024,No,대회에서 세계랭킹 1위를 만난 언더독의 신나는 반란,"🎁헤마군 멤버십 가입: https://www.youtube.com/channel/UC-8g9H1v9f7zEhm0UqOf0ig/join
✅멤버십에 가입하시면 덱 피드백 및 질문들에 답변을 들으실 수 있으니 많은 관심 부탁 드립니다!

🎁헤마군 무료 구독 : https://goo.gl/96Ev2q
🎁헤마군 트윕으로 후원하기: https://twip.kr/wnstjr8052#donate","305
","20,963
",https://www.youtube.com/shorts/u-Rm5VrByqU
KOREA'S HOTTEST POPs & Trot,https://www.youtube.com/channel/UC3Gtk0sWC1NaN5PYW_hbcjg,157K,16-05-2024,Oct 17 2023,No,영탁 콘서트 떼창 클라쓰 #영탁,#탁쇼 #영탁 #전주콘서트,"394
","2,772
",https://www.youtube.com/shorts/N8FqrDA2bb8
랩해도돼?RAPTUBE,https://www.youtube.com/channel/UC13r2XVC5h3unwWgo25puAw,303K,16-05-2024,Aug 30 2023,No,지렁이 vs 두꺼비,,"206
","8,961
",https://www.youtube.com/shorts/DL0kGA66pAw
이재림의 카잼TV_Studio CAR JAM,https://www.youtube.com/channel/UCCE4oHV3UzJAEiZWuyqBt7g,45.4K,16-05-2024,May 01 2024,No,"이래서 렉서스, 렉서스 하는구나 #rx350h #rx450h #rx500h",,"24
","6,273
",https://www.youtube.com/shorts/znppPBOm5vw
Visual Impact,https://www.youtube.com/channel/UC8JXR4O2uXTHpMldS9BMs3Q,1.91K,16-05-2024,Aug 21 2023,No,"구리대교 vs 고덕대교, 다리이름을 지켜라",,"22
","2,579
",https://www.youtube.com/shorts/WywZYfrfMiw
뷰,https://www.youtube.com/channel/UClfnwyDy1janeAYc4Pssk8g,88.9K,16-05-2024,May 04 2024,No,특검을 왜 거부 합니까? ￼죄￼졌으니까 거부하는 겁니다. ￼ #윤석열탄핵,#윤석열#김건희#채상병#특검#채해병특검#김건희특검#주가조작#이재명#조국#조국혁신당,"266
","4,809
",https://www.youtube.com/shorts/iYfvucqmuto
watch football,https://www.youtube.com/channel/UChc7Kooe_uitcIvfhxfL9pw,31.3K,16-05-2024,Mar 25 2024,No,Uruguay vs Russia | Group A | 2018 World Cup Russia,"#2018WorldCup #RussiaWorldCup #GoldCup #CopaAmerica #WorldCupChampionship #Semifinals #Quarterfinals #Roundof16
#2026WorldCup #WorldCupQualifiers
#Euro2024Qualifiers #CopaAmerica2024 #UruguayVSRussia #NorthandCentralAmericaWorldCupQualifiers #2026WorldCupQualifiers #USSoccer","71
","20,406
",https://www.youtube.com/shorts/9r53tFV6S-Y
