yt_url,check_date,is_posted_in_date_range
https://www.youtube.com/channel/UCeAEYjNRozsh-MHT10EUEVA,18-05-2024,No short Videos
https://www.youtube.com/channel/UCax9ZOktDpBhjviuZmiIq-g,18-05-2024,Banned
https://www.youtube.com/channel/UCIrYBqpgMidFLBQeeG0m0JQ,18-05-2024,No short Videos
https://www.youtube.com/channel/UCKitX3MzbFuVJHoRiYQwEpw,18-05-2024,No short Videos
https://www.youtube.com/channel/UCJUcB21q-_MDxquGxtmgTfw,18-05-2024,Banned
https://www.youtube.com/channel/UCSVJCqGT3xpWyNA1z6Jwn7Q,18-05-2024,Banned
https://www.youtube.com/channel/UC_0ewrZoD_1aw0mx72ISaGA,18-05-2024,Banned
https://www.youtube.com/channel/UCix_zFh6ctgcndBaTqZQ6lA,18-05-2024,No short Videos
https://www.youtube.com/channel/UCgHG6kRpULWaJ1AGUr2pOXQ,18-05-2024,No short Videos
https://www.youtube.com/channel/UCZUhx8ClCv6paFW7qi3qljg,18-05-2024,No short Videos
https://www.youtube.com/channel/UCZ4T91xGdsyqH0pUA_z5QTg,18-05-2024,No short Videos
https://www.youtube.com/channel/UCSkpiPo167whNN5sN3swaeQ,18-05-2024,No short Videos
https://www.youtube.com/channel/UCwW6D9G9hegNPKYrQ0zivvQ,18-05-2024,No short Videos
https://www.youtube.com/channel/UCnmwgGF8B9a3tP2D53V8dig,18-05-2024,No short Videos
https://www.youtube.com/channel/UC8cscgG12KkR7-cOitqYQcg,18-05-2024,No short Videos
