chanel_name,yt_url,subscribers,check_date,released_date,is_posted_in_date_range,shorts_name,description,likes,views,short_url
EBSi,https://www.youtube.com/channel/UCDkTanNuZGwYtf-Y6_xBmqw,227000,18-05-2024,May 13 2024,Yes,자동차 만드느라 6개월 동안 집을 안 갔습니다 #오토매니아 #국립금오공과대학교 #대학생활 #천재이승국 #미리가본대학,EBSi 국가대표 고교 강의 ▶ http://www.ebsi.co.kr,12,810,https://www.youtube.com/shorts/HKDm8KK6ZNA
Seo Hyun Sook TV,https://www.youtube.com/channel/UCrzTDI-wev6gpi0zBzJkqQA,119000,18-05-2024,May 15 2024,Yes,흔치않은 궁뎅이 돌리기 매니악 #서현숙 #치어리더 #쇼츠 #직캠 #두산베어스 #shorts,흔치않은 궁뎅이 돌리기 매니악 #서현숙 #치어리더 #쇼츠 #직캠 #두산베어스 #shorts,829,"28,453",https://www.youtube.com/shorts/4-9ZLQIKAL4
Seo Hyun Sook TV,https://www.youtube.com/channel/UCrzTDI-wev6gpi0zBzJkqQA,119000,18-05-2024,May 13 2024,Yes,두산3대 금쪽이라는데.. #치어리더 #서현숙 #쇼츠 #shorts #두산베어스 #kbo,두산3대 금쪽이라는데.. #치어리더 #서현숙 #쇼츠 #shorts #두산베어스 #kbo,668,"25,777",https://www.youtube.com/shorts/hk_ueXT6xS8
Seo Hyun Sook TV,https://www.youtube.com/channel/UCrzTDI-wev6gpi0zBzJkqQA,119000,18-05-2024,May 12 2024,Yes,하찮은 다리 삐그덕 #서현숙 #치어리더 #cheerleader #cheerleader #두산베어스 #shorts,하찮은 다리 삐그덕 #서현숙 #치어리더 #cheerleader #cheerleader #두산베어스 #shorts,485,"13,448",https://www.youtube.com/shorts/sbLBUPDnrW8
KTV 국민방송,https://www.youtube.com/channel/UCIMOytYIzaUpoAM2bpT4JZQ,512000,18-05-2024,May 18 2024,Yes,제44주년 5.18 #민주화운동 기념식 #윤석열대통령 3년 연속 참석,제44주년 5.18 #민주화운동 기념식 #윤석열대통령 3년 연속 참석,40,783,https://www.youtube.com/shorts/CmCBiPb-cRM
KTV 국민방송,https://www.youtube.com/channel/UCIMOytYIzaUpoAM2bpT4JZQ,512000,18-05-2024,May 17 2024,Yes,#국가재정전략회의 주재한 #윤석열대통령 정부의 존재 이유는 국민의 #행복 #서민 #중산층 위한 #재정 운용,#국가재정전략회의 주재한 #윤석열대통령 정부의 존재 이유는 국민의 #행복 #서민 #중산층 위한 #재정 운용,92,"1,235",https://www.youtube.com/shorts/AD9aRgH1bNA
KTV 국민방송,https://www.youtube.com/channel/UCIMOytYIzaUpoAM2bpT4JZQ,512000,18-05-2024,May 17 2024,Yes,#과학기술정보통신부 #정부 #네온샛 #누리호 #우주 #우주항공청 #발사 #윤석열대통령 #초소형 군집위성 #정책속으로 #국민방송,#과학기술정보통신부 #정부 #네온샛 #누리호 #우주 #우주항공청 #발사 #윤석열대통령 #초소형 군집위성 #정책속으로 #국민방송,23,209,https://www.youtube.com/shorts/FLSFEZAc7MM
KTV 국민방송,https://www.youtube.com/channel/UCIMOytYIzaUpoAM2bpT4JZQ,512000,18-05-2024,May 16 2024,Yes,#윤석열대통령 #캄보디아 #MOU #서명식,#윤석열대통령 #캄보디아 #MOU #서명식,95,"1,136",https://www.youtube.com/shorts/4uXr6QOmj3c
슈뻘맨 [슈퍼 뻘짓 도전기],https://www.youtube.com/channel/UCXZx953K0FgkT3H2FaFAcew,809000,18-05-2024,May 12 2024,Yes,분빡이 나루토 춤.. 끝까지 봐야함.. 그렇게 추는거 맞아?,분홍빠박아.. 나루토 춤 그렇게 추는거 맞아..?!,3K,"75,132",https://www.youtube.com/shorts/jw6JFI90n0o
레알예능 스브스,https://www.youtube.com/channel/UCy-swBYpRZx7KW11FStjTgw,753000,18-05-2024,May 16 2024,Yes,[#화제의1분] 난 그게 불만이야! #shorts,"#화제의1분 #돌싱포맨 #매주화요일본방사수
Ep.137
#신발벗고돌싱포맨 #shorts #탁재훈 #임원희 #이상민 #김준호 #장혁 #홍경민
☞ 매주 화요일 오후 09:00",306,"78,249",https://www.youtube.com/shorts/HaghyN6ihZ8
